project_id,sector,state,sanctioned_cost,sanctioned_date,original_end_date,duration_months,target_cost_overrun_pct,real_state_overrun_july,real_sector_overrun_pct,real_state_drift_pp_month
PRJ-0020,Railways,Uttar Pradesh,1334.33,2026-02-21,2033-07-21,89,15.212,2.185,37.14,-3.086
PRJ-0021,Roads & Highways,Karnataka,1329.45,2026-02-15,2032-06-15,76,-5.782,-17.416,1.73,-5.504
PRJ-0022,Roads & Highways,Jharkhand,791.83,2026-02-09,2034-04-09,98,2.352,-17.585,1.73,-4.6
PRJ-0023,Roads & Highways,West Bengal,558.54,2026-02-01,2032-10-01,80,-17.93,-20.715,1.73,-5.985
PRJ-0024,Oil & Gas,Karnataka,2515.7,2026-02-01,2031-04-01,62,-4.856,-17.416,8.97,-5.504
PRJ-0025,Railways,Jharkhand,1651.69,2026-02-20,2030-10-20,56,8.742,-17.585,37.14,-4.6
PRJ-0026,Roads & Highways,Maharashtra,913.98,2026-02-12,2031-09-12,67,9.239,12.366,1.73,-2.098
PRJ-0027,Transmission & Distribution,West Bengal,1308.86,2026-02-23,2030-04-23,50,-16.619,-20.715,3.02,-5.985
PRJ-0028,Roads & Highways,Rajasthan,1184.02,2026-02-15,2033-02-15,84,11.132,4.92,1.73,-7.926
PRJ-0029,Roads & Highways,Jharkhand,500.36,2026-02-03,2033-11-03,93,-16.797,-17.585,1.73,-4.6
PRJ-0030,Roads & Highways,Bihar,576.01,2026-02-27,2029-01-27,35,4.526,-13.584,1.73,-3.536
PRJ-0031,Oil & Gas,Jharkhand,4624.16,2026-02-24,2033-05-24,87,2.704,-17.585,8.97,-4.6
PRJ-0032,Electricity Generation,Gujarat,7740.01,2026-02-27,2034-01-27,95,0.369,8.533,12.9,-3.068
PRJ-0033,Roads & Highways,Uttar Pradesh,328.2,2026-02-07,2032-01-07,71,6.878,2.185,1.73,-3.086
PRJ-0034,Electricity Generation,Nagaland,6848.4,2026-02-16,2031-05-16,63,-20.845,-37.566,12.9,-8.949
PRJ-0035,Steel,West Bengal,1239.26,2026-02-02,2034-07-02,101,-3.362,-20.715,14.55,-5.985
PRJ-0036,Coal,Tripura,1848.37,2026-02-22,2031-02-22,60,-23.518,-43.844,-1.1,-10.209
PRJ-0037,Roads & Highways,Assam,440.99,2026-02-12,2033-11-12,93,-0.709,-6.798,1.73,-7.331
PRJ-0038,Waste & Water,Punjab,808.97,2026-02-07,2034-07-07,101,-15.817,-29.625,1.27,-7.508
PRJ-0039,Roads & Highways,Uttar Pradesh,656.42,2026-02-15,2035-01-15,107,2.196,2.185,1.73,-3.086
PRJ-0040,Roads & Highways,Maharashtra,2156.38,2026-02-08,2028-04-08,26,4.911,12.366,1.73,-2.098
PRJ-0041,Healthcare,Madhya Pradesh,2449.74,2026-02-26,2030-01-26,47,-11.308,-8.492,20.66,-2.506
PRJ-0042,Roads & Highways,Punjab,801.81,2026-02-16,2030-06-16,52,-28.704,-29.625,1.73,-7.508
PRJ-0043,Roads & Highways,Himachal Pradesh,1304.15,2026-02-13,2035-03-13,109,-25.674,-32.81,1.73,-11.046
PRJ-0044,Education,Karnataka,574.81,2026-02-22,2033-11-22,93,-7.466,-17.416,-3.03,-5.504
PRJ-0045,Transmission & Distribution,Madhya Pradesh,1109.21,2026-02-02,2031-05-02,63,-4.739,-8.492,3.02,-2.506
PRJ-0046,Roads & Highways,Jammu & Kashmir,857.57,2026-02-03,2031-04-03,62,-20.01,-30.598,1.73,-8.146
PRJ-0047,Roads & Highways,Maharashtra,1153.14,2026-02-09,2031-01-09,59,1.489,12.366,1.73,-2.098
PRJ-0048,Railways,Assam,2012.29,2026-02-25,2031-09-25,67,11.841,-6.798,37.14,-7.331
PRJ-0049,"Tourism, Hospitality & Wellness",Jammu & Kashmir,466.6,2026-02-10,2035-11-10,117,27.96,-30.598,116.06,-8.146
PRJ-0050,Roads & Highways,Bihar,1271.36,2026-02-09,2035-05-09,111,-17.692,-13.584,1.73,-3.536
PRJ-0051,Healthcare,Bihar,624.88,2026-02-01,2032-05-01,75,-15.275,-13.584,20.66,-3.536
PRJ-0052,Roads & Highways,Punjab,1174.05,2026-02-10,2030-07-10,53,-24.984,-29.625,1.73,-7.508
PRJ-0053,Roads & Highways,Gujarat,1201.38,2026-02-17,2035-02-17,108,8.122,8.533,1.73,-3.068
PRJ-0054,Roads & Highways,Gujarat,2017.55,2026-02-17,2034-06-17,100,10.712,8.533,1.73,-3.068
PRJ-0055,Electricity Generation,West Bengal,16039.4,2026-02-09,2033-07-09,89,-9.881,-20.715,12.9,-5.985
PRJ-0056,Roads & Highways,Madhya Pradesh,1149.46,2026-02-27,2028-11-27,33,-7.156,-8.492,1.73,-2.506
PRJ-0057,Transmission & Distribution,Odisha,1907.95,2026-02-09,2031-07-09,65,-1.7,-14.368,3.02,-4.448
PRJ-0058,Railways,Bihar,1411.22,2026-02-08,2028-05-08,27,-7.216,-13.584,37.14,-3.536
PRJ-0059,Coal,Tamil Nadu,864.72,2026-02-18,2032-04-18,74,6.696,0.764,-1.1,-0.572
PRJ-0060,Healthcare,Karnataka,307.29,2026-02-28,2031-03-28,61,4.11,-17.416,20.66,-5.504
PRJ-0061,Shipping,Sikkim,1877.69,2026-02-09,2030-07-09,53,-23.29,-36.961,0.54,-13.156
PRJ-0062,Roads & Highways,Tamil Nadu,838.98,2026-02-08,2028-12-08,34,-5.06,0.764,1.73,-0.572
PRJ-0063,Roads & Highways,Gujarat,771.26,2026-02-14,2032-01-14,71,-3.569,8.533,1.73,-3.068
PRJ-0064,Roads & Highways,Karnataka,242.3,2026-02-26,2034-11-26,105,-10.335,-17.416,1.73,-5.504
PRJ-0065,Aviation & Aviation Infrastructure,Uttar Pradesh,1011.56,2026-02-07,2031-12-07,70,-1.554,2.185,6.68,-3.086
PRJ-0066,Roads & Highways,Madhya Pradesh,1245.5,2026-02-06,2035-08-06,114,-11.244,-8.492,1.73,-2.506
PRJ-0067,Roads & Highways,Manipur,1124.94,2026-02-03,2029-04-03,38,-16.817,-34.668,1.73,-11.403
PRJ-0068,Roads & Highways,Kerala,360.21,2026-02-20,2028-02-20,24,-10.794,-26.921,1.73,-8.051
PRJ-0069,Oil & Gas,Telangana,2158.68,2026-02-20,2033-02-20,84,-3.96,-22.597,8.97,-9.117
PRJ-0070,Real Estate,Himachal Pradesh,10630.62,2026-02-13,2034-12-13,106,-19.044,-32.81,0.12,-11.046
PRJ-0071,Roads & Highways,Assam,958.6,2026-02-07,2029-05-07,39,-5.617,-6.798,1.73,-7.331
PRJ-0072,Coal,Chhattisgarh,4684.41,2026-02-03,2035-07-03,113,-19.756,-22.042,-1.1,-5.836
PRJ-0073,Roads & Highways,Gujarat,1397.41,2026-02-04,2031-01-04,59,0.287,8.533,1.73,-3.068
PRJ-0074,Telecommunication,Kerala,10419.51,2026-02-24,2032-12-24,82,-22.818,-26.921,-35.41,-8.051
PRJ-0075,Roads & Highways,Jammu & Kashmir,1001.02,2026-02-20,2028-09-20,31,-15.622,-30.598,1.73,-8.146
PRJ-0076,Metals & Mining,Andhra Pradesh,4557.01,2026-02-24,2029-06-24,40,7.229,-3.734,42.87,-5.906
PRJ-0077,Roads & Highways,West Bengal,958.94,2026-02-22,2030-08-22,54,-10.205,-20.715,1.73,-5.985
PRJ-0078,Roads & Highways,Haryana,987.16,2026-02-04,2029-03-04,37,-0.596,8.788,1.73,-7.806
PRJ-0079,Roads & Highways,Bihar,2799.34,2026-02-17,2036-02-17,120,-7.765,-13.584,1.73,-3.536
PRJ-0080,Oil & Gas,Jharkhand,4089.41,2026-02-12,2032-10-12,80,-6.894,-17.585,8.97,-4.6
PRJ-0081,Healthcare,Madhya Pradesh,339.16,2026-02-13,2032-06-13,76,-3.326,-8.492,20.66,-2.506
PRJ-0082,Oil & Gas,West Bengal,1363.22,2026-02-06,2032-11-06,81,-5.773,-20.715,8.97,-5.985
PRJ-0083,Roads & Highways,Sikkim,1761.82,2026-02-24,2028-03-24,25,-15.51,-36.961,1.73,-13.156
PRJ-0084,Roads & Highways,Jharkhand,1170.71,2026-02-22,2030-02-22,48,-14.929,-17.585,1.73,-4.6
PRJ-0085,Oil & Gas,Maharashtra,3678.61,2026-02-21,2033-07-21,89,18.731,12.366,8.97,-2.098
PRJ-0086,Roads & Highways,Punjab,843.32,2026-02-01,2036-01-01,119,-18.998,-29.625,1.73,-7.508
PRJ-0087,Roads & Highways,Maharashtra,653.12,2026-02-22,2034-07-22,101,9.629,12.366,1.73,-2.098
PRJ-0088,Roads & Highways,Rajasthan,1121.61,2026-02-11,2035-04-11,110,1.232,4.92,1.73,-7.926
PRJ-0089,Roads & Highways,Andhra Pradesh,474.07,2026-02-10,2035-11-10,117,-4.436,-3.734,1.73,-5.906
PRJ-0090,Railways,Arunachal Pradesh,2489.54,2026-02-12,2031-11-12,69,-7.363,-18.413,37.14,-11.146
PRJ-0091,Energy Storage,Andhra Pradesh,2658.04,2026-02-27,2032-04-27,74,10.277,-3.734,13.08,-5.906
PRJ-0092,Education,Odisha,330.01,2026-02-25,2032-09-25,79,-16.599,-14.368,-3.03,-4.448
PRJ-0093,Roads & Highways,Uttar Pradesh,2867.04,2026-02-13,2034-07-13,101,0.045,2.185,1.73,-3.086
PRJ-0094,Construction,Jammu & Kashmir,1287.89,2026-02-27,2028-04-27,26,-6.928,-30.598,0.0,-8.146
PRJ-0095,Coal,Rajasthan,10809.78,2026-02-16,2035-04-16,110,3.298,4.92,-1.1,-7.926
PRJ-0096,Roads & Highways,Maharashtra,766.25,2026-02-15,2032-10-15,80,3.868,12.366,1.73,-2.098
PRJ-0097,Railways,Chhattisgarh,2888.38,2026-02-22,2031-11-22,69,7.082,-22.042,37.14,-5.836
PRJ-0098,Healthcare,Maharashtra,166.0,2026-02-01,2029-02-01,36,17.703,12.366,20.66,-2.098
PRJ-0099,Railways,Tamil Nadu,2359.62,2026-02-17,2035-10-17,116,9.422,0.764,37.14,-0.572
PRJ-0100,Roads & Highways,Nagaland,425.51,2026-02-14,2035-03-14,109,-26.009,-37.566,1.73,-8.949
PRJ-0101,Railways,Telangana,2888.88,2026-02-01,2032-04-01,74,-2.212,-22.597,37.14,-9.117
PRJ-0102,Roads & Highways,Mizoram,305.95,2026-02-25,2031-12-25,70,-22.0,-45.063,1.73,-10.188
PRJ-0103,Water Resources,Madhya Pradesh,3022.74,2026-02-09,2028-12-09,34,36.547,-8.492,104.29,-2.506
PRJ-0104,Roads & Highways,Haryana,488.79,2026-02-10,2035-03-10,109,7.318,8.788,1.73,-7.806
PRJ-0105,Roads & Highways,Assam,2009.36,2026-02-07,2035-10-07,116,-9.947,-6.798,1.73,-7.331
PRJ-0106,Roads & Highways,Himachal Pradesh,577.54,2026-02-12,2032-07-12,77,-34.004,-32.81,1.73,-11.046
PRJ-0107,Roads & Highways,Assam,789.62,2026-02-03,2032-06-03,76,-5.837,-6.798,1.73,-7.331
PRJ-0108,Roads & Highways,Odisha,1268.93,2026-02-24,2034-12-24,106,-11.985,-14.368,1.73,-4.448
PRJ-0109,Healthcare,Madhya Pradesh,485.74,2026-02-02,2031-02-02,60,5.507,-8.492,20.66,-2.506
PRJ-0110,Transmission & Distribution,Arunachal Pradesh,2736.81,2026-02-21,2029-10-21,44,-13.573,-18.413,3.02,-11.146
PRJ-0111,Roads & Highways,Assam,606.41,2026-02-19,2028-11-19,33,-2.967,-6.798,1.73,-7.331
PRJ-0112,Roads & Highways,West Bengal,1721.66,2026-02-04,2031-06-04,64,-8.403,-20.715,1.73,-5.985
PRJ-0113,Railways,Karnataka,5537.85,2026-02-10,2034-12-10,106,13.024,-17.416,37.14,-5.504
PRJ-0114,Roads & Highways,Maharashtra,1022.63,2026-02-01,2030-01-01,47,6.204,12.366,1.73,-2.098
PRJ-0115,Water Resources,Tamil Nadu,2904.85,2026-02-12,2034-05-12,99,41.177,0.764,104.29,-0.572
PRJ-0116,Roads & Highways,Jharkhand,955.48,2026-02-06,2032-06-06,76,-11.252,-17.585,1.73,-4.6
PRJ-0117,Roads & Highways,Arunachal Pradesh,1146.39,2026-02-11,2035-10-11,116,-3.364,-18.413,1.73,-11.146
PRJ-0118,Roads & Highways,Maharashtra,1673.67,2026-02-11,2032-07-11,77,1.206,12.366,1.73,-2.098
PRJ-0119,Roads & Highways,Assam,1278.01,2026-02-03,2029-01-03,35,-2.117,-6.798,1.73,-7.331
PRJ-0120,Railways,Chhattisgarh,2989.34,2026-02-24,2031-11-24,69,3.367,-22.042,37.14,-5.836
PRJ-0121,Roads & Highways,Andhra Pradesh,338.5,2026-02-24,2036-01-24,119,0.749,-3.734,1.73,-5.906
PRJ-0122,Coal,Rajasthan,1046.95,2026-02-27,2029-04-27,38,5.377,4.92,-1.1,-7.926
PRJ-0123,Urban Public Transport,Himachal Pradesh,10683.43,2026-02-18,2030-11-18,57,-20.27,-32.81,5.8,-11.046
PRJ-0124,Steel,Odisha,519.05,2026-02-09,2034-06-09,100,6.901,-14.368,14.55,-4.448
PRJ-0125,Roads & Highways,Maharashtra,816.56,2026-02-25,2033-03-25,85,7.898,12.366,1.73,-2.098
PRJ-0126,Roads & Highways,Uttar Pradesh,803.46,2026-02-23,2028-08-23,30,7.549,2.185,1.73,-3.086
PRJ-0127,Water Resources,Dadra & Nagar Haveli and Daman & Diu,1765.42,2026-02-12,2033-03-12,85,25.763,-28.82,104.29,-5.9
PRJ-0128,Roads & Highways,Uttar Pradesh,406.87,2026-02-03,2033-12-03,94,8.631,2.185,1.73,-3.086
PRJ-0129,Roads & Highways,Karnataka,1092.57,2026-02-03,2031-11-03,69,-6.977,-17.416,1.73,-5.504
PRJ-0130,Roads & Highways,Uttar Pradesh,409.95,2026-02-09,2033-07-09,89,4.249,2.185,1.73,-3.086
PRJ-0131,Coal,Chhattisgarh,2706.0,2026-02-11,2035-04-11,110,-15.481,-22.042,-1.1,-5.836
PRJ-0132,Water Resources,Tripura,3011.31,2026-02-26,2035-09-26,115,26.176,-43.844,104.29,-10.209
PRJ-0133,Roads & Highways,Uttarakhand,1029.74,2026-02-10,2032-08-10,78,-15.0,-33.821,1.73,-10.563
PRJ-0134,Telecommunication,Telangana,5212.13,2026-02-14,2031-06-14,64,-28.078,-22.597,-35.41,-9.117
PRJ-0135,Coal,West Bengal,2399.32,2026-02-04,2031-08-04,66,-12.851,-20.715,-1.1,-5.985
PRJ-0136,Roads & Highways,Bihar,453.83,2026-02-23,2033-05-23,87,-2.921,-13.584,1.73,-3.536
PRJ-0137,Roads & Highways,Karnataka,508.56,2026-02-26,2029-09-26,43,-12.762,-17.416,1.73,-5.504
PRJ-0138,Roads & Highways,Maharashtra,777.83,2026-02-08,2033-06-08,88,8.424,12.366,1.73,-2.098
PRJ-0139,Oil & Gas,Bihar,5092.51,2026-02-27,2030-05-27,51,-2.523,-13.584,8.97,-3.536
PRJ-0140,Roads & Highways,Chhattisgarh,257.36,2026-02-21,2032-06-21,76,-25.181,-22.042,1.73,-5.836
PRJ-0141,Railways,Puducherry,4983.49,2026-02-15,2030-02-15,48,-23.692,-64.2,37.14,-13.361
PRJ-0142,Coal,Uttar Pradesh,1169.28,2026-02-20,2031-04-20,62,-2.131,2.185,-1.1,-3.086
PRJ-0143,Roads & Highways,Jharkhand,1543.81,2026-02-24,2035-02-24,108,-3.942,-17.585,1.73,-4.6
PRJ-0144,Transmission & Distribution,Karnataka,4764.49,2026-02-13,2034-12-13,106,-14.97,-17.416,3.02,-5.504
PRJ-0145,Railways,Uttarakhand,1769.95,2026-02-27,2033-03-27,85,-10.01,-33.821,37.14,-10.563
PRJ-0146,Coal,Kerala,761.92,2026-02-28,2035-07-28,113,-22.326,-26.921,-1.1,-8.051
PRJ-0147,Roads & Highways,Maharashtra,416.64,2026-02-20,2034-04-20,98,8.769,12.366,1.73,-2.098
PRJ-0148,Roads & Highways,Bihar,1022.1,2026-02-13,2030-01-13,47,-6.559,-13.584,1.73,-3.536
PRJ-0149,Roads & Highways,Maharashtra,723.95,2026-02-09,2032-10-09,80,7.189,12.366,1.73,-2.098
PRJ-0150,Roads & Highways,Maharashtra,500.41,2026-02-13,2035-01-13,107,4.245,12.366,1.73,-2.098
PRJ-0151,Transmission & Distribution,Rajasthan,2784.09,2026-02-17,2034-07-17,101,12.831,4.92,3.02,-7.926
PRJ-0152,Railways,Odisha,1413.15,2026-02-27,2029-01-27,35,4.86,-14.368,37.14,-4.448
PRJ-0153,Railways,Telangana,1718.75,2026-02-09,2029-04-09,38,9.212,-22.597,37.14,-9.117
PRJ-0154,Roads & Highways,Uttar Pradesh,1234.18,2026-02-07,2036-01-07,119,3.465,2.185,1.73,-3.086
PRJ-0155,Oil & Gas,Ladakh,1721.17,2026-02-20,2030-04-20,50,-7.993,-20.406,8.97,-5.631
PRJ-0156,Roads & Highways,Uttarakhand,665.77,2026-02-07,2034-10-07,104,-15.681,-33.821,1.73,-10.563
PRJ-0157,Roads & Highways,Jharkhand,642.24,2026-02-01,2032-02-01,72,-5.089,-17.585,1.73,-4.6
PRJ-0158,Transmission & Distribution,Andhra Pradesh,4215.57,2026-02-04,2036-02-04,120,-1.435,-3.734,3.02,-5.906
PRJ-0159,Railways,Bihar,3532.51,2026-02-06,2035-12-06,118,14.158,-13.584,37.14,-3.536
PRJ-0160,Roads & Highways,Bihar,1449.59,2026-02-20,2028-06-20,28,-4.34,-13.584,1.73,-3.536
PRJ-0161,Roads & Highways,Bihar,1576.14,2026-02-07,2034-10-07,104,-12.226,-13.584,1.73,-3.536
PRJ-0162,Inland Waterways,Maharashtra,4647.89,2026-02-08,2034-02-08,96,3.493,12.366,-5.74,-2.098
PRJ-0163,Railways,Maharashtra,1967.55,2026-02-09,2029-03-09,37,22.749,12.366,37.14,-2.098
PRJ-0164,Roads & Highways,Punjab,953.81,2026-02-03,2032-05-03,75,-23.015,-29.625,1.73,-7.508
PRJ-0165,Roads & Highways,Gujarat,809.57,2026-02-21,2031-08-21,66,4.397,8.533,1.73,-3.068
PRJ-0166,Roads & Highways,Kerala,270.46,2026-02-08,2034-09-08,103,-16.051,-26.921,1.73,-8.051
PRJ-0167,Roads & Highways,Uttar Pradesh,2181.19,2026-02-12,2034-09-12,103,0.424,2.185,1.73,-3.086
PRJ-0168,Transmission & Distribution,Meghalaya,3203.96,2026-02-06,2031-04-06,62,-19.145,-46.806,3.02,-10.697
PRJ-0169,Roads & Highways,Jharkhand,236.71,2026-02-12,2032-02-12,72,-9.836,-17.585,1.73,-4.6
PRJ-0170,Railways,Odisha,3697.33,2026-02-22,2029-11-22,45,2.976,-14.368,37.14,-4.448
PRJ-0171,Coal,Andhra Pradesh,2978.01,2026-02-02,2028-10-02,32,-4.986,-3.734,-1.1,-5.906
PRJ-0172,Roads & Highways,Manipur,679.74,2026-02-06,2031-04-06,62,-14.333,-34.668,1.73,-11.403
PRJ-0173,Roads & Highways,Goa,2303.94,2026-02-27,2031-09-27,67,-17.715,-31.785,1.73,-6.752
PRJ-0174,Roads & Highways,Andhra Pradesh,765.59,2026-02-27,2035-02-27,108,-10.054,-3.734,1.73,-5.906
PRJ-0175,Roads & Highways,Karnataka,567.99,2026-02-11,2030-06-11,52,-18.801,-17.416,1.73,-5.504
PRJ-0176,Coal,Uttar Pradesh,1290.45,2026-02-27,2034-10-27,104,11.681,2.185,-1.1,-3.086
PRJ-0177,Roads & Highways,Maharashtra,523.16,2026-02-08,2032-12-08,82,-3.337,12.366,1.73,-2.098
PRJ-0178,Railways,Punjab,2671.73,2026-02-22,2034-03-22,97,-12.521,-29.625,37.14,-7.508
PRJ-0179,Railways,Odisha,4081.08,2026-02-18,2030-04-18,50,8.74,-14.368,37.14,-4.448
PRJ-0180,Roads & Highways,Telangana,416.87,2026-02-17,2033-07-17,89,-9.069,-22.597,1.73,-9.117
PRJ-0181,Electricity Generation,Uttarakhand,9170.34,2026-02-03,2035-04-03,110,-12.94,-33.821,12.9,-10.563
PRJ-0182,Railways,Uttar Pradesh,3832.9,2026-02-10,2031-11-10,69,22.212,2.185,37.14,-3.086
PRJ-0183,Roads & Highways,Uttar Pradesh,546.03,2026-02-01,2029-10-01,44,13.766,2.185,1.73,-3.086
PRJ-0184,Roads & Highways,Ladakh,711.15,2026-02-15,2029-10-15,44,-17.901,-20.406,1.73,-5.631
PRJ-0185,Roads & Highways,Jammu & Kashmir,635.29,2026-02-10,2029-07-10,41,-18.281,-30.598,1.73,-8.146
PRJ-0186,Roads & Highways,Puducherry,1138.09,2026-02-27,2030-12-27,58,-43.105,-64.2,1.73,-13.361
PRJ-0187,Urban Public Transport,Jharkhand,6970.69,2026-02-20,2033-01-20,83,-11.165,-17.585,5.8,-4.6
PRJ-0188,Roads & Highways,Chandigarh,246.84,2026-02-12,2028-11-12,33,-47.991,-67.359,1.73,-54.567
PRJ-0189,Urban Public Transport,Rajasthan,23200.74,2026-02-20,2029-01-20,35,13.222,4.92,5.8,-7.926
PRJ-0190,Railways,Tamil Nadu,3346.52,2026-02-02,2032-05-02,75,20.01,0.764,37.14,-0.572
PRJ-0191,Coal,Andhra Pradesh,2254.33,2026-02-26,2030-09-26,55,-6.14,-3.734,-1.1,-5.906
PRJ-0192,Waste & Water,Bihar,356.72,2026-02-23,2029-06-23,40,-14.379,-13.584,1.27,-3.536
PRJ-0193,Roads & Highways,Madhya Pradesh,1340.67,2026-02-07,2031-04-07,62,-9.158,-8.492,1.73,-2.506
PRJ-0194,Transmission & Distribution,Dadra & Nagar Haveli and Daman & Diu,1718.2,2026-02-17,2029-08-17,42,-6.773,-28.82,3.02,-5.9
PRJ-0195,Roads & Highways,Gujarat,991.67,2026-02-11,2030-12-11,58,2.626,8.533,1.73,-3.068
PRJ-0196,Education,Himachal Pradesh,203.41,2026-02-08,2035-07-08,113,-31.744,-32.81,-3.03,-11.046
PRJ-0197,Roads & Highways,Uttar Pradesh,1141.14,2026-02-10,2031-09-10,67,11.104,2.185,1.73,-3.086
PRJ-0198,Roads & Highways,Jammu & Kashmir,930.27,2026-02-15,2032-07-15,77,-21.438,-30.598,1.73,-8.146
PRJ-0199,Roads & Highways,Maharashtra,1009.34,2026-02-25,2028-11-25,33,5.218,12.366,1.73,-2.098
PRJ-0200,Roads & Highways,Uttarakhand,888.29,2026-02-15,2029-10-15,44,-22.283,-33.821,1.73,-10.563
PRJ-0201,Steel,Uttarakhand,1352.27,2026-02-28,2034-10-28,104,-10.5,-33.821,14.55,-10.563
PRJ-0202,Roads & Highways,Manipur,1190.86,2026-02-26,2028-07-26,29,-11.413,-34.668,1.73,-11.403
PRJ-0203,Roads & Highways,Uttar Pradesh,2516.55,2026-02-26,2032-10-26,80,2.143,2.185,1.73,-3.086
PRJ-0204,Roads & Highways,Andaman & Nicobar,258.85,2026-02-07,2032-08-07,78,-31.938,-52.203,1.73,-20.338
PRJ-0205,Roads & Highways,Madhya Pradesh,1106.4,2026-02-27,2032-02-27,72,0.372,-8.492,1.73,-2.506
PRJ-0206,Roads & Highways,Karnataka,1561.06,2026-02-02,2030-10-02,56,-9.897,-17.416,1.73,-5.504
PRJ-0207,Energy Storage,Arunachal Pradesh,584.21,2026-02-07,2030-04-07,50,-8.45,-18.413,13.08,-11.146
PRJ-0208,Steel,Lakshadweep,636.87,2026-02-24,2032-06-24,76,10.893,0.0,14.55,0.0
PRJ-0209,Roads & Highways,Chhattisgarh,272.59,2026-02-11,2029-08-11,42,-18.325,-22.042,1.73,-5.836
PRJ-0210,Telecommunication,Bihar,1508.7,2026-02-21,2034-08-21,102,-17.791,-13.584,-35.41,-3.536
PRJ-0211,Aviation & Aviation Infrastructure,Madhya Pradesh,693.11,2026-02-04,2032-12-04,82,4.974,-8.492,6.68,-2.506
PRJ-0212,Oil & Gas,Haryana,5074.59,2026-02-20,2029-01-20,35,13.688,8.788,8.97,-7.806
PRJ-0213,Coal,Uttar Pradesh,2011.27,2026-02-15,2030-07-15,53,11.888,2.185,-1.1,-3.086
PRJ-0214,Coal,Maharashtra,1146.47,2026-02-04,2031-10-04,68,14.122,12.366,-1.1,-2.098
PRJ-0215,Roads & Highways,Andhra Pradesh,1701.19,2026-02-27,2031-02-27,60,-10.926,-3.734,1.73,-5.906
PRJ-0216,Oil & Gas,Gujarat,6215.77,2026-02-14,2032-04-14,74,-0.826,8.533,8.97,-3.068
PRJ-0217,Railways,Jharkhand,2873.72,2026-02-07,2030-11-07,57,-2.143,-17.585,37.14,-4.6
PRJ-0218,Railways,Madhya Pradesh,3626.55,2026-02-28,2034-08-28,102,20.918,-8.492,37.14,-2.506
PRJ-0219,Roads & Highways,Punjab,1230.63,2026-02-11,2035-02-11,108,-18.366,-29.625,1.73,-7.508
PRJ-0220,Roads & Highways,West Bengal,3806.66,2026-02-19,2028-05-19,27,-14.897,-20.715,1.73,-5.985
PRJ-0221,Railways,Delhi,2288.88,2026-02-11,2028-05-11,27,12.59,3.547,37.14,0.072
PRJ-0222,Oil & Gas,Odisha,4920.69,2026-02-01,2028-06-01,28,-1.659,-14.368,8.97,-4.448
PRJ-0223,Transmission & Distribution,Meghalaya,2311.25,2026-02-25,2034-10-25,104,-24.079,-46.806,3.02,-10.697
PRJ-0224,Coal,Rajasthan,2781.32,2026-02-05,2032-09-05,79,0.988,4.92,-1.1,-7.926
